borough,neighborhood,id,race,estimate
Staten Island,Westerleigh                                                    ,SI07,WtNHE,18096.0
Staten Island,Grymes Hill-Clifton-Fox Hills                                  ,SI08,WtNHE,6463.0
Staten Island,Charleston-Richmond Valley-Tottenville                         ,SI11,WtNHE,19682.0
Staten Island,Mariner's Harbor-Arlington-Port Ivory-Granite                  ,SI12,WtNHE,6907.0
Staten Island,Grasmere-Arrochar-Ft. Wadsworth                                ,SI14,WtNHE,10227.0
Staten Island,West New Brighton-New Brighton-St. George                      ,SI22,WtNHE,8468.0
Staten Island,Todt Hill-Emerson Hill-Heartland Village-Ligh                  ,SI24,WtNHE,22506.0
Staten Island,Oakwood-Oakwood Beach                                          ,SI25,WtNHE,17663.0
Staten Island,Port Richmond                                                  ,SI28,WtNHE,8192.0
Staten Island,Rossville-Woodrow                                              ,SI32,WtNHE,17610.0
Staten Island,New Brighton-Silver Lake                                       ,SI35,WtNHE,10574.0
Staten Island,Old Town-Dongan Hills-South Beach                              ,SI36,WtNHE,18037.0
Staten Island,Stapleton-Rosebank                                             ,SI37,WtNHE,10132.0
Staten Island,New Dorp-Midland Beach                                         ,SI45,WtNHE,15904.0
Staten Island,Arden Heights                                                  ,SI48,WtNHE,19869.0
Staten Island,Great Kills                                                    ,SI54,WtNHE,37589.0
Staten Island,park-cemetery-etc-Staten Island                                ,SI99,WtNHE,
Brooklyn,Brooklyn Heights-Cobble Hill                                   ,BK09,BlNHE,1171.0
Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,BlNHE,3888.0
Brooklyn,Brighton Beach                                                 ,BK19,BlNHE,419.0
Brooklyn,Seagate-Coney Island                                           ,BK21,BlNHE,9798.0
Brooklyn,West Brighton                                                  ,BK23,BlNHE,163.0
Brooklyn,Homecrest                                                      ,BK25,BlNHE,419.0
Brooklyn,Gravesend                                                      ,BK26,BlNHE,2148.0
Brooklyn,Bath Beach                                                     ,BK27,BlNHE,487.0
Brooklyn,Bensonhurst West                                               ,BK28,BlNHE,558.0
